조사년도,학번,입학년월,졸업년월,취업구분,취업구분1,국내진학학교명/국내기업명,기업지역,기업구분,회사구분,전공일치여부
2020,201124529,20110322,201908,기타,미취업,,,,,
2020,201224412,20120322,201908,기타,미취업,,,,,
2020,201224439,20120322,201908,기타,미취업,,,,,
2020,201224531,20120322,201908,기타,미취업,,,,,
2020,201224537,20120322,201908,기타,미취업,,,,,
2020,201228174,20120322,201908,기타,미취업,,,,,
2020,201324404,20130342,201908,취업자(건보가입자),취업,한국재정정보원,서울,공공기관,한국재정정보원,Y
2020,201324410,20130342,201908,취업자(건보가입자),취업,실리콘웍스,서울,중소기업,실리콘웍스,Y
2020,201324438,20130342,201908,취업자(건보가입자),취업,삼성전자,경기,대기업,삼성전자,Y
2020,201324460,20130342,201908,취업자(건보가입자),취업,한전KDN,전남,공공기관,한전KDN,Y
2020,201324476,20130342,201908,취업자(건보가입자),취업,라인파이낸셜플러스,경기,중소기업,라인파이낸셜플러스,Y
2020,201324479,20130342,201908,취업자(건보가입자),취업,네이버,경기,대기업,네이버,Y
2020,201324481,20130342,201908,기타,미취업,,,,,
2020,201324504,20130342,201908,취업자(건보가입자),취업,KT,부산,대기업,KT,Y
2020,201324505,20130342,201908,기타,미취업,,,,,
2020,201324516,20130342,201908,진학자(국내대학원),진학,부산대학교 일반대학원,,대학원,,
2020,201324526,20130342,201908,취업자(건보가입자),취업,네이버클라우드,경기,대기업,네이버클라우드,Y
2020,201324528,20130342,201908,취업자(건보가입자),취업,하나금융티아이,서울,대기업,하나금융티아이,Y
2020,201324535,20130342,201908,취업자(건보가입자),취업,,미상,직접입력,기타,Y
2020,201324542,20130342,201908,취업자(건보가입자),취업,부산시청,부산,공공기관,부산시청,Y
2020,201324543,20130342,201908,취업자(건보가입자),취업,쿠팡,서울,대기업,쿠팡,Y
2020,201324544,20130342,201908,취업자(건보가입자),취업,,미상,직접입력,기타,Y
2020,201324549,20130342,201908,기타,미취업,,,,,
2020,201424401,20140332,201908,취업자(건보가입자),취업,해성DS,경남,중소기업,해성DS,Y
2020,201424433,20140332,201908,취업자(건보가입자),취업,한화시스템,서울,대기업,한화시스템,Y
2020,201424453,20140332,201908,취업자(건보가입자),취업,LG씨엔에스,서울,대기업,LG씨엔에스,Y
2020,201424497,20140332,201908,취업자(건보가입자),취업,,미상,직접입력,기타,Y
2020,201424525,20140332,201908,취업자(건보가입자),취업,케어닥,서울,중소기업,케어닥,Y
2020,201424538,20140332,201908,취업자(건보가입자),취업,한국수자원공사,경남,공공기관,한국수자원공사,Y
2020,201524454,20150322,201908,외국인,외국인,,,,,
2020,201524485,20150322,201908,취업자(건보가입자),취업,산업은행,경기,공공기관,산업은행,Y
2020,201524596,20150322,201908,취업자(건보가입자),취업,코스콤,서울,대기업,코스콤,Y
2020,201524643,20170322,201908,취업자(건보가입자),취업,한국전력기술,경북,공공기관,한국전력기술,Y
2020,201524646,20170322,201908,기타,미취업,,,,,
2020,201524652,20170322,201908,기타,미취업,,,,,
2020,201545832,20150322,201908,진학자(국내대학원),진학,포항공과대학교 대학원,,대학원,,
2020,201124477,20110322,201908,취업자(건보가입자),취업,금정구청,부산,공공기관,금정구청,Y
2020,201124405,20110322,202002,취업자(건보가입자),취업,한국전력공사,강원,공공기관,한국전력공사,Y
2020,201224408,20120322,202002,취업자(건보가입자),취업,네이버,경기,대기업,네이버,Y
2020,201224456,20120322,202002,기타,미취업,,,,,
2020,201224463,20120322,202002,취업자(건보가입자),취업,채티스,부산,중소기업,채티스,Y
2020,201224481,20120322,202002,취업자(건보가입자),취업,나비스오토모티브시스템즈,부산,중소기업,나비스오토모티브시스템즈,Y
2020,201224497,20120322,202002,기타,미취업,,,,,
2020,201224549,20120322,202002,기타,미취업,,,,,
2020,201324418,20130342,202002,취업자(건보가입자),취업,삼성전자,경기,대기업,삼성전자,Y
